               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 113,            0.031268,            0.033004,           0.0036514,             0.89936,             0.80875,              0.8185,             0.68581,            0.024099,            0.011822,            0.003526,            0.002608,            0.002608,            0.002608
                 114,            0.031312,            0.031118,           0.0034817,             0.89985,             0.80874,              0.8178,             0.68178,            0.023801,            0.012112,           0.0034968,            0.002542,            0.002542,            0.002542
                 115,            0.032405,            0.037841,           0.0039907,              0.9005,             0.80791,             0.81523,             0.67956,            0.024439,            0.012391,           0.0034605,            0.002476,            0.002476,            0.002476
                 116,            0.030592,            0.031878,           0.0027381,              0.8996,             0.80259,             0.81355,             0.68052,            0.024649,            0.011825,           0.0035186,             0.00241,             0.00241,             0.00241
                 117,            0.031045,            0.030111,           0.0032428,             0.90015,             0.80257,             0.80804,             0.66597,            0.024683,            0.012666,           0.0036407,            0.002344,            0.002344,            0.002344
                 118,            0.031482,            0.033664,            0.003151,             0.90548,             0.80769,             0.81604,             0.68392,            0.023804,            0.012866,            0.003604,            0.002278,            0.002278,            0.002278
                 119,             0.03206,            0.033028,           0.0033144,             0.89963,             0.80266,             0.81622,             0.69306,            0.023921,            0.012196,           0.0035659,            0.002212,            0.002212,            0.002212
                 120,            0.030238,            0.031301,           0.0035083,             0.89846,             0.80265,             0.81351,             0.70231,            0.023883,            0.012285,           0.0035882,            0.002146,            0.002146,            0.002146
                 121,            0.030141,            0.029717,           0.0034845,             0.89308,             0.79765,             0.80664,             0.68654,            0.023944,            0.011857,           0.0035268,             0.00208,             0.00208,             0.00208
                 122,             0.03143,             0.03368,           0.0035309,             0.90092,             0.80261,             0.80917,             0.68672,            0.023909,            0.011398,           0.0034208,            0.002014,            0.002014,            0.002014
                 123,            0.027667,            0.030696,           0.0042054,             0.90039,             0.80271,             0.81019,             0.68767,            0.023283,            0.011127,           0.0033879,            0.001948,            0.001948,            0.001948
                 124,            0.029897,            0.032126,            0.003374,             0.89993,             0.80287,             0.80459,             0.67885,            0.023607,            0.011648,           0.0033707,            0.001882,            0.001882,            0.001882
                 125,            0.029992,            0.032981,           0.0030042,             0.89936,             0.80272,             0.80772,             0.68164,             0.02366,            0.011838,           0.0033743,            0.001816,            0.001816,            0.001816
                 126,             0.03091,            0.036799,           0.0029458,             0.89949,             0.80275,             0.81401,             0.69481,            0.023116,            0.011639,           0.0034013,             0.00175,             0.00175,             0.00175
                 127,            0.028747,            0.028083,           0.0031797,             0.90024,             0.80273,              0.8104,             0.69267,            0.023287,            0.011091,           0.0034586,            0.001684,            0.001684,            0.001684
                 128,            0.029598,            0.031524,           0.0030627,             0.89901,             0.80584,             0.81024,             0.68758,            0.023355,            0.011157,           0.0034461,            0.001618,            0.001618,            0.001618
                 129,            0.031277,            0.029855,           0.0033838,             0.89929,             0.80254,             0.80879,             0.68544,            0.023484,             0.01099,           0.0035006,            0.001552,            0.001552,            0.001552
                 130,            0.026605,            0.027695,           0.0031921,             0.90008,             0.80254,             0.80696,             0.68375,            0.023466,             0.01093,           0.0034721,            0.001486,            0.001486,            0.001486
                 131,            0.031273,             0.03538,           0.0033846,             0.89969,             0.80254,             0.80817,              0.6804,            0.023575,            0.011692,           0.0034767,             0.00142,             0.00142,             0.00142
                 132,            0.030543,            0.035302,           0.0034158,              0.9005,             0.80259,             0.80719,             0.68157,            0.023429,            0.011781,           0.0034497,            0.001354,            0.001354,            0.001354
                 133,            0.029664,            0.032672,           0.0031086,             0.90056,              0.8027,              0.8047,             0.68273,            0.023493,            0.011448,           0.0033988,            0.001288,            0.001288,            0.001288
                 134,            0.031068,            0.033125,           0.0035054,             0.89966,             0.80584,             0.80274,             0.67455,            0.023289,            0.011304,           0.0033713,            0.001222,            0.001222,            0.001222
